page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/moutons/mouton-4331406,Mouton,650000.0,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/4331406_uploaded_image3_1691759623.jpeg""); width: 406px;",CFA,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4332510,Mouton,135000.0,"Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4332510_uploaded_image2_1691845002.jpeg""); width: 530px;",CFA,Lac,"rose,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4372450,Mouton,250000.0,"Lac rose, Sénégal","background-image: url(""https://images.coinafrique.com/4372450_uploaded_image2_1694450196.jpeg""); width: 530px;",CFA,Lac,"rose,",Sénégal
https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-4384585,Femelle Ladoum,293934901.50877196,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_4384585_uploaded_image1_1695244150.jpg""); width: 407px;",demande,Keur,"Massar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-brebis-4423962,Mouton Brebis,700000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4423962_uploaded_image2_1697827433.jpeg""); width: 671px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/brebis-4430520,Brebis,700000.0,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4430520_uploaded_image2_1698276223.jpeg""); width: 671px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-4437187,Femelle Ladoum,750000.0,"Mbao, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4437187_uploaded_image2_1698769871.jpeg""); width: 671px;",CFA,"Mbao,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-4438670,Mouton,130000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4438670_uploaded_image2_1698850116.jpeg""); width: 383px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4438677,Mouton Ladoum,300.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4438677_uploaded_image2_1698850236.jpeg""); width: 383px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4438683,Mouton Ladoum,300000.0,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/4438683_uploaded_image2_1698850339.jpeg""); width: 376px;",CFA,"Guediawaye,","Dakar,",Sénégal
