page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/autres-animaux/oies-de-guinee-1417652,Oies de guinée,299564.11042944784,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/1417652_uploaded_image2_1577968881.34.png""); width: 405px;",demande,"Thies,","Thies,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421196,Cheval,400000.0,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/1421196_uploaded_image2_1578051070.49.png""); width: 571px;",CFA,"Fatick,","Fatick,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421206,Cheval,400000.0,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/1421206_uploaded_image3_1578050744.82.png""); width: 571px;",CFA,"Fatick,","Fatick,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089,Oies toulouse,299564.11042944784,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1428089_uploaded_image2_1578172839.3.png""); width: 369px;",demande,"Fass,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1441558,Perruches,299564.11042944784,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1441558_uploaded_image1_1578406878.24.png""); width: 469px;",demande,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453830,Perruches,299564.11042944784,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1453830_uploaded_image1_1578583361.91.png""); width: 469px;",demande,Point,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453837,Perruches,299564.11042944784,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1453837_uploaded_image1_1578583493.67.png""); width: 469px;",demande,Point,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/biscuit-en-poudre-pour-betail-1459836,Biscuit en poudre pour betail,4000.0,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1459836_uploaded_image1_1578670978.71.png""); width: 508px;",CFA,Patte,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/dindes-canards-et-colverts-1490889,Dindes - canards et colverts,299564.11042944784,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1490889_uploaded_image1_1579188174.8.png""); width: 402px;",demande,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/autres-animaux/buf-1495773,Bœuf,700000.0,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png""); width: 384px;",CFA,Saint,"Louis,",Sénégal
