page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363,Poulet - Pigeon  - Lapin,Prixsur,Sénégal,"background-image: url(""https://images.coinafrique.com/944363_uploaded_image1_1568471599.26.png""); width: 432px;",demande,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953,Paons Pigeons,30000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/968953_uploaded_image1_1569008082.81.png""); width: 439px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534,Poules,7000,Sénégal,"background-image: url(""https://images.coinafrique.com/977534_uploaded_image2_1569239272.74.png""); width: 448px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655,Lapins angora californien,11000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/993655_uploaded_image2_1569535991.08.png""); width: 457px;",CFA,"Médina,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369,Brahmane poules,35000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006369_uploaded_image1_1569853974.38.png""); width: 581px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380,Bleus d'hollande,15000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006380_uploaded_image2_1569854064.42.png""); width: 581px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407,Pigeon voyageur,20000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png""); width: 581px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413,Pigeon voyageur,25000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png""); width: 581px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424,Pigeon voyageur,20000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006424_uploaded_image1_1569854764.54.png""); width: 581px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679,Lapin angora californien,15000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1014679_uploaded_image2_1570023780.8.png""); width: 597px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073,Lapin géant,45000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1023073_uploaded_image1_1570188340.15.png""); width: 423px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990,Perroquet,75000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1040990_uploaded_image1_1570583700.42.png""); width: 563px;",CFA,Hann,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763,Lapin géant des Flandres,35000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png""); width: 369px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921,Pigeon links,Prixsur,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/1091921_uploaded_image2_1571681099.56.png""); width: 370px;",demande,"Diourbel,","Diourbel,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720,Couple pigeons cravatés français,50000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1112720_uploaded_image1_1572054298.36.png""); width: 370px;",CFA,"Cambérène,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010,Bleu hollandais,25000,Sénégal,"background-image: url(""https://images.coinafrique.com/1115010_uploaded_image2_1572106168.07.png""); width: 448px;",CFA,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405,Pigeons,Prixsur,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/1137405_uploaded_image2_1572537461.89.png""); width: 369px;",demande,"Fatick,","Fatick,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-guinars-tiirr-1146827,Poulets Guinars tiirr,Prixsur,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png""); width: 438px;",demande,Patte,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/maton-1148605,Maton,25000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1148605_uploaded_image1_1572793285.71.png""); width: 420px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lawar-1148681,Lawar,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1148681_uploaded_image1_1572794832.68.png""); width: 420px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-1159518,Poussin - 1 jour,Prixsur,Sénégal,"background-image: url(""https://images.coinafrique.com/1159518_uploaded_image2_1572985208.73.png""); width: 409px;",demande,Sénégal,,Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-femelle-lavande-1204935,Jeune femelle  lavande,20000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png""); width: 370px;",CFA,Les,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1209192,Pigeons,60000,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png""); width: 435px;",CFA,"Pikine,","Pikine,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-a-queue-de-paon-indien-1242200,Pigeon à queue de paon indien,20000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1242200_uploaded_image1_1574510941.51.png""); width: 575px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-fauve-1246480,Pigeon fauve,10000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1246480_uploaded_image2_1574613561.59.png""); width: 575px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-1247406,Pigeon mondain,20000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1247406_uploaded_image2_1574631656.13.png""); width: 575px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253,Lapereaux fauve,Prixsur,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png""); width: 628px;",demande,"Ngor,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213,Lapins de race,70000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1291213_uploaded_image2_1575425609.27.png""); width: 472px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215,Lapins de race,70000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1291215_uploaded_image1_1575425694.27.png""); width: 472px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-1291244,Lapin,25000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1291244_uploaded_image1_1575430604.21.png""); width: 369px;",CFA,Grand,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036,Dinde d'Amérique,Prixsur,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1346036_uploaded_image2_1576462750.78.png""); width: 439px;",demande,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/canards-1346042,Canards,5000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png""); width: 439px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1364891,Lapins de race,80000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1364891_uploaded_image2_1591311164.jpeg""); width: 369px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oeuf-feconde-1365452,Oeuf fécondé,240,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1365452_uploaded_image2_1576790350.48.png""); width: 537px;",CFA,"Dakar,","Dakar,",Sénégal
